대여소명,자치구,lat,long,LCD거치대수,text
신내역 4번출구,중랑구,37.612461,127.103378,20.0,신내역 4번출구 (중랑구)<br>거치대 수: 20.0
신내우디안아파트 1단지,중랑구,37.620098,127.106461,10.0,신내우디안아파트 1단지 (중랑구)<br>거치대 수: 10.0
양원역 2번출구,중랑구,37.606312,127.107742,10.0,양원역 2번출구 (중랑구)<br>거치대 수: 10.0
용마문화복지센터,중랑구,37.58746,127.09597,10.0,용마문화복지센터 (중랑구)<br>거치대 수: 10.0
면목도시개발아파트 1동 앞,중랑구,37.573589,127.086823,15.0,면목도시개발아파트 1동 앞 (중랑구)<br>거치대 수: 15.0
용마산역 1번출구,중랑구,37.574299,127.086914,10.0,용마산역 1번출구 (중랑구)<br>거치대 수: 10.0
원묵고등학교,중랑구,37.616024,127.085968,10.0,원묵고등학교 (중랑구)<br>거치대 수: 10.0
장안중학교,중랑구,37.599957,127.080002,15.0,장안중학교 (중랑구)<br>거치대 수: 15.0
중랑구청,중랑구,37.606152,127.092598,20.0,중랑구청 (중랑구)<br>거치대 수: 20.0
중랑구청 사거리,중랑구,37.606499,127.095451,10.0,중랑구청 사거리 (중랑구)<br>거치대 수: 10.0
