,col_1,행정동,세대수,등록인구,등록인구(남),등록인구(여),여성비율,한국인,한국인(남),한국인(여),외국인,외국인(남),외국인(여),외국인비율,세대당인구,65세이상고령자,평균연령,인구밀도 (명/㎢),면적 (㎢),대학교 수,가로등 수,보안등 수,전체 CCTV수(어린이보호 제외),상가 수,일반 유흥 주점,생활방범 CCTV 수,범죄발생수(유동인구기준),범죄발생수(면적기준),강력범죄,절도범죄,폭력범죄,치안기관,유흥업소 수,초등학교 수,"중,고등학교 수",어린이용 CCTV 수,안전비상벨 수,요리 주점,입시·교과학원,기타 CCTV 수,시설물 CCTV 수,쓰레기단속 CCTV 수
14,동구,신암1동,4564,8930,4473,4457,0.499104143,8885,4457,4428,45,16,29,0.005039194,1.95,2494,49.5,14883,0.6,0,104,212,76,527,5,73,90.26121655,11.36426023,175,1505,1770,2.5,0.6593406593406594,2.0,1.4285714285714286,0.0,0.5555555555555556,2.4561403508771926,0.14598540145985403,,0.0,0.9677419354838709
15,동구,신암2동,4437,10190,4813,5377,0.52767419,10160,4802,5358,30,11,19,0.002944063,2.29,2335,46.0,26816,0.38,0,107,16,26,327,6,23,102.9968417,7.197364809,175,1505,1770,2.5,0.3296703296703297,2.0,0.0,0.0,1.1111111111111112,0.9649122807017543,0.43795620437956206,,0.0,0.9677419354838709
16,동구,신암3동,4970,11435,5593,5842,0.510887626,11398,5583,5815,37,10,27,0.00323568,2.29,2074,43.0,18746,0.61,0,108,35,51,394,7,49,115.5808523,11.55366456,175,1505,1770,0.0,0.7692307692307694,2.0,0.0,0.0,1.1111111111111112,0.7017543859649121,0.4014598540145986,,0.0,0.6451612903225806
17,동구,신암4동,6198,11147,5552,5595,0.50192877,11071,5521,5550,76,31,45,0.006817978,1.79,2781,49.6,9609,1.16,0,669,86,74,518,25,69,112.6698523,21.9709031,175,1505,1770,2.5,2.6373626373626378,2.0,0.0,0.0,1.3888888888888888,1.4035087719298245,0.07299270072992703,,0.0,1.6129032258064515
18,동구,신암5동,3131,6189,2915,3274,0.52900307,6158,2907,3251,31,8,23,0.005008887,1.97,1886,52.1,12135,0.51,0,100,81,37,315,3,37,62.55617796,9.659621191,175,1505,1770,0.0,0.3296703296703297,4.0,2.857142857142857,0.0,0.8333333333333334,0.5263157894736841,0.25547445255474455,,0.0,0.0
19,동구,신천1·2동,6052,12516,5891,6625,0.529322467,12487,5886,6601,29,5,24,0.002317034,2.06,3419,49.3,26075,0.48,0,0,0,0,0,0,0,126.5072101,9.09140818,175,1505,1770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
20,동구,신천3동,6372,14626,7226,7400,0.505948311,14557,7193,7364,69,33,36,0.004717626,2.28,2361,42.9,20894,0.7,0,66,20,34,734,4,27,147.8343285,13.2583036,175,1505,1770,2.5,0.6593406593406594,2.0,2.857142857142857,0.0,1.3888888888888888,0.7894736842105262,0.6934306569343066,,0.0,2.258064516129032
21,동구,신천4동,5066,8403,4136,4267,0.507794835,8318,4106,4212,85,30,55,0.010115435,1.64,1826,46.7,10773,0.78,0,338,93,56,1730,98,50,84.93449078,14.77353829,175,1505,1770,0.0,10.000000000000002,2.0,0.0,0.0,1.1111111111111112,5.0,0.14598540145985403,,0.0,1.9354838709677418
22,동구,효목1동,6929,13268,6554,6714,0.506029545,13200,6534,6666,68,20,48,0.005125113,1.91,3981,51.6,9685,1.37,0,256,335,76,755,11,73,134.1081547,25.94839418,175,1505,1770,0.0,0.7692307692307694,2.0,1.4285714285714286,0.0,0.8333333333333334,2.9824561403508767,0.0,,0.0,0.9677419354838709
23,동구,효목2동,6309,12810,6092,6718,0.524434036,12763,6074,6689,47,18,29,0.003669009,2.02,3289,48.9,17792,0.72,0,397,155,78,630,1,69,129.478856,13.63711227,175,1505,1770,0.0,0.7692307692307694,2.0,0.0,0.0,0.8333333333333334,1.7543859649122804,0.29197080291970806,,0.0,2.903225806451613
24,동구,도평동,2042,3920,2102,1818,0.46377551,3899,2095,1804,21,7,14,0.005357143,1.91,1092,50.0,189,20.73,0,95,73,38,73,0,19,39.621945,392.6351908,175,1505,1770,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.08771929824561409,0.036496350364963515,,1.8181818181818183,2.258064516129032
25,동구,불로봉무동,8756,21161,10382,10779,0.509380464,20990,10307,10683,171,75,96,0.008080904,2.4,3538,42.9,2720,7.78,1,0,0,0,0,0,0,213.8877495,147.3565743,175,1505,1770,0.0,0.21978021978021983,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
26,동구,지저동,6863,14161,7053,7108,0.501941953,14072,7030,7042,89,23,66,0.006284867,2.05,3730,50.2,6526,2.17,0,475,205,69,381,0,65,143.1342763,41.10074115,175,1505,1770,0.0,0.3296703296703297,0.0,1.4285714285714286,0.0,0.5555555555555556,0.7894736842105262,0.10948905109489052,,0.0,1.2903225806451613
27,동구,동촌동,7803,15381,7700,7681,0.499382355,15273,7670,7603,108,30,78,0.00702165,1.96,3826,48.9,4037,3.81,0,214,167,90,569,5,80,155.4655959,72.16305243,175,1505,1770,2.5,0.4395604395604396,2.0,1.4285714285714286,0.0,0.5555555555555556,1.8421052631578945,0.036496350364963515,,0.0,3.225806451612903
28,동구,방촌동,8394,18548,8925,9623,0.518816045,18472,8909,9563,76,16,60,0.004097477,2.2,4792,49.6,14721,1.26,0,295,379,80,577,0,66,187.4764888,23.86494647,175,1505,1770,0.0,0.3296703296703297,6.0,1.4285714285714286,0.0,1.3888888888888888,1.4035087719298245,0.43795620437956206,,1.5151515151515151,1.2903225806451613
29,동구,해안동,7233,14920,7457,7463,0.500201072,14851,7439,7412,69,18,51,0.004624665,2.05,4091,50.1,1122,13.3,0,254,168,88,466,2,71,150.8059743,251.9077683,175,1505,1770,0.0,0.10989010989010992,2.0,1.4285714285714286,0.0,0.5555555555555556,1.2280701754385963,0.07299270072992703,,0.0,5.483870967741935
30,동구,안심1동,19802,41509,20211,21298,0.513093546,41269,20138,21131,240,73,167,0.005781879,2.08,8237,45.0,12578,3.3,0,1092,1382,217,1702,6,207,419.5579886,62.50343124,175,1505,1770,0.0,0.5494505494505495,8.0,2.857142857142857,0.0,5.277777777777778,4.210526315789473,0.9489051094890512,,0.0,3.225806451612903
31,동구,안심2동,5293,11552,5743,5809,0.502856648,11488,5728,5760,64,15,49,0.005540166,2.17,2717,48.5,847,13.64,0,1187,508,192,363,0,176,116.7634461,258.3475158,175,1505,1770,2.5,0.0,0.0,1.4285714285714286,0.0,2.2222222222222223,0.08771929824561409,0.0,,0.0,5.161290322580645
32,동구,안심3동,8685,21921,10656,11265,0.51389079,21803,10603,11200,118,53,65,0.005382966,2.51,3035,40.3,3594,6.1,0,605,245,100,696,0,95,221.5695552,115.5366456,175,1505,1770,0.0,0.21978021978021983,6.0,2.857142857142857,0.0,2.5,1.2280701754385963,2.335766423357664,,0.0,1.6129032258064515
33,동구,안심4동,11858,28547,14130,14417,0.505026798,28390,14063,14327,157,67,90,0.005499702,2.39,4616,43.0,11283,2.53,0,468,237,82,945,3,75,288.5427714,47.91929728,175,1505,1770,5.0,0.5494505494505495,2.0,2.857142857142857,0.0,0.8333333333333334,0.7894736842105262,0.6934306569343066,,0.0,2.258064516129032
34,동구,혁신동,8820,18673,9228,9445,0.505810529,18590,9195,9395,83,33,50,0.00444492,2.11,1891,37.3,1137,16.42,0,1495,838,154,1018,7,145,188.7399436,311.0019215,175,1505,1770,2.5,0.0,4.0,2.857142857142857,0.0,1.3888888888888888,1.1403508771929822,0.9854014598540146,,0.4545454545454546,1.9354838709677418
35,동구,공산동,9845,21519,10525,10994,0.510897347,21436,10501,10935,83,24,59,0.003857057,2.18,5343,48.4,257,83.8,0,1592,143,103,716,0,71,217.5062843,1587.208345,175,1505,1770,5.0,0.0,6.0,2.857142857142857,0.0,0.8333333333333334,0.7894736842105262,0.25547445255474455,0.0,1.0606060606060606,7.741935483870967
36,서구,소계,81116,161935,80754,81181,0.50131843,159827,79580,80247,2108,1174,934,0.013017569,1.97,40897,49.8,9350,17.32,0,0,0,0,0,0,0,2032.0,2032.0,79,866,1087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
37,서구,내당1동,4922,10142,5013,5129,0.505718793,10104,5004,5100,38,9,29,0.003746796,2.05,2179,46.8,21579,0.47,0,74,61,98,428,16,96,127.2642974,55.1408776,79,866,1087,2.5,1.978021978021978,2.0,0.0,3.859649122807017,0.0,1.7543859649122804,0.10948905109489052,0.11627906976744196,0.0,0.0
38,서구,내당2·3동,4906,9323,4490,4833,0.518395366,9261,4466,4795,62,24,38,0.00665022,1.89,2802,52.3,14343,0.65,0,0,0,0,0,0,0,116.987285,76.25866051,79,866,1087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
39,서구,내당4동,7955,16054,7683,8371,0.521427682,15974,7652,8322,80,31,49,0.004983182,2.01,3891,48.7,21405,0.75,0,172,260,172,785,8,128,201.4495199,87.99076212,79,866,1087,2.5,0.9890109890109892,2.0,4.285714285714286,5.789473684210526,1.1111111111111112,2.9824561403508767,0.43795620437956206,3.8372093023255816,1.5151515151515151,0.0
