col_1,행정동,유흥업소 수,초등학교 수,"중,고등학교 수",요리 주점,입시·교과학원,등록인구_scaled,여성비율_scaled,외국인비율_scaled,고령자 비율_scaled,총점,치안기관,어린이용 CCTV 수,안전비상벨 수,기타 CCTV 수,시설물 CCTV 수,쓰레기단속 CCTV 수,가로등 수_scaled,보안등 수_scaled,생활방범 CCTV 수_scaled,총점,순위험도
동구,효목2동,0.769230769,2,0,1.754385965,0.291970803,0.204314612,7.568183155,0.165265139,6.895884839,1.981710063,0,0,0.833333333,0,0,2.903225806,1.438405797,1.121562952,1.71641791,1.129611306,0.852098757
동구,도평동,0,0,0,0.087719298,0.03649635,0.041412648,1.405347677,0.297677013,7.646451529,0.733793989,0,0,0.555555556,0,1.818181818,2.258064516,0.344202899,0.528219971,0.472636816,0.471029036,0.262764953
동구,불로봉무동,0.21978022,2,0,0,0,0.357339842,6.038757801,0.511320183,3.815096907,1.347385714,0,0,0,0,0,0,0,0,0,0,1.347385714
동구,지저동,0.32967033,0,1.428571429,0.789473684,0.109489051,0.229070579,5.283013761,0.37044474,7.124538602,1.408995494,0,0,0.555555556,0,0,1.290322581,1.721014493,1.483357453,1.616915423,1.103429433,0.305566061
동구,동촌동,0.43956044,2,1.428571429,1.842105263,0.03649635,0.251426079,5.02296159,0.428235661,6.620545625,1.656317812,2.5,0,0.555555556,0,0,3.225806452,0.775362319,1.208393632,1.990049751,1.363732029,0.292585783
동구,방촌동,0.32967033,6,1.428571429,1.403508772,0.437956204,0.309458759,6.997401823,0.198872809,6.951067674,2.237737162,0,0,1.388888889,0,1.515151515,1.290322581,1.06884058,2.742402315,1.641791045,1.22292181,1.014815352
동구,해안동,0.10989011,2,1.428571429,1.228070175,0.072992701,0.242978632,5.106142282,0.240223763,7.495927436,1.594701168,0,0,0.555555556,0,0,5.483870968,0.920289855,1.215629522,1.766169154,1.152506947,0.442194221
동구,안심1동,0.549450549,8,2.857142857,4.210526316,0.948905109,0.730200265,6.416002601,0.330991957,4.889904026,2.732225704,0,0,5.277777778,0,0,3.225806452,3.956521739,10,5.149253731,3.907333866,-1.175108162
동구,안심2동,0,0,1.428571429,0.087719298,0,0.181262793,5.375945706,0.312032757,6.154390182,1.195419875,2.5,0,2.222222222,0,0,5.161290323,4.300724638,3.675832127,4.378109453,3.24161468,-2.046194805
동구,안심3동,0.21978022,6,2.857142857,1.228070175,2.335766423,0.371266219,6.497001661,0.299702488,2.826353819,1.972259871,0,0,2.5,0,0,1.612903226,2.192028986,1.772793054,2.36318408,1.58847508,0.383784791
동구,안심4동,0.549450549,2,2.857142857,0.789473684,0.693430657,0.492682239,5.596430414,0.308858889,3.626031356,1.574437667,5,0,0.833333333,0,0,2.258064516,1.695652174,1.714905933,1.865671642,1.761682307,-0.187244639
동구,혁신동,0,4,2.857142857,1.140350877,0.98540146,0.311749281,5.67605657,0.226125136,1.54728123,1.48926515,2.5,0,1.388888889,0,0.454545455,1.935483871,5.416666667,6.063675832,3.606965174,3.258851012,-1.769585862
