col_1,행정동,세대수,등록인구,등록인구(남),등록인구(여),한국인,한국인(남),한국인(여),외국인,외국인(남),외국인(여),세대당인구,65세이상고령자,평균연령,인구밀도 (명/㎢),면적 (㎢),치안기관,유흥업소 수,초등학교 수,"중,고등학교 수",대학교 수,가로등 수,보안등 수,어린이용 CCTV 수,전체 CCTV수(어린이보호 제외),안전비상벨 수,상가 수,요리 주점,일반 유흥 주점,입시·교과학원,생활방범 CCTV 수,기타 CCTV 수,시설물 CCTV 수,쓰레기단속 CCTV 수,범죄발생수(유동인구기준),범죄발생수(면적기준),강력범죄,절도범죄,폭력범죄
달서구,두류1·2동,8389,14542,7091,7451,14401,7053,7348,141,38,103,1.72,3433,48.2,10934,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,117.8477238,94.59483726,228,2064,2144
달서구,두류3동,4023,7951,3850,4101,7900,3832,4068,51,18,33,1.96,2025,48.7,7099,1.12,1,2,1,0,0,165,521,8,71,0,763,48,3,5,66,5,0,0,64.43455179,79.65881033,228,2064,2144
달서구,본리동,8015,20162,9938,10224,19804,9762,10042,358,176,182,2.47,2746,42.1,18497,1.09,0,15,2,3,0,226,45,16,81,2,704,21,18,12,70,11,0,0,163.3919549,77.52509219,228,2064,2144
달서구,감삼동,12055,28405,13825,14580,28272,13769,14503,133,56,77,2.35,3983,42.3,24072,1.18,1,18,2,0,0,326,175,19,129,0,1394,35,14,17,125,4,0,0,230.1928617,83.92624659,228,2064,2144
달서구,죽전동,6780,13125,6461,6664,12981,6395,6586,144,66,78,1.91,2431,46.5,17736,0.74,0,9,1,0,0,68,141,2,103,0,906,12,7,5,92,11,0,0,106.3644186,52.63171397,228,2064,2144
달서구,장기동,7143,17082,8500,8582,16674,8190,8484,408,310,98,2.33,2641,43.8,5493,3.11,0,4,2,1,0,737,137,6,119,1,825,28,5,29,107,12,0,0,138.4317713,221.1954465,228,2064,2144
달서구,용산1동,12419,30164,15073,15091,29988,15017,14971,176,56,120,2.41,3986,43.4,23383,1.29,1,0,4,2,0,913,180,23,112,2,970,26,1,19,96,16,0,0,244.4477198,91.74987975,228,2064,2144
달서구,용산2동,11332,27919,13987,13932,27702,13876,13826,217,111,106,2.44,3671,44,21151,1.32,1,0,3,6,0,503,154,21,65,2,480,16,1,4,50,15,0,0,226.2543393,93.88359788,228,2064,2144
달서구,이곡1동,9212,22806,11483,11323,22278,11146,11132,528,337,191,2.42,2927,43.5,12531,1.82,2,0,3,2,0,364,349,18,85,3,811,17,0,42,66,19,0,0,184.8188137,129.4455668,228,2064,2144
달서구,이곡2동,7076,16360,8341,8019,15872,8017,7855,488,324,164,2.24,2608,45.7,8020,2.04,0,53,1,2,0,550,407,5,47,7,832,32,50,2,31,16,0,0,132.5807153,145.0928331,228,2064,2144
달서구,신당동,17593,35497,18186,17311,30916,15700,15216,4581,2486,2095,1.76,4697,43.7,3796,9.35,1,65,4,2,2,1973,1244,37,178,10,2472,65,67,9,154,24,0,0,287.6661156,665.0088183,228,2064,2144
달서구,월성1동,13143,40350,19743,20607,40251,19691,20560,99,52,47,3.06,3258,37,18509,2.18,0,0,4,3,0,410,112,25,53,4,1376,17,2,131,47,6,0,0,326.9946126,155.0501844,228,2064,2144
달서구,월성2동,8306,16109,8014,8095,15221,7206,8015,888,808,80,1.83,4828,52.4,2557,6.3,2,0,3,5,0,1613,407,13,69,14,435,2,0,1,47,21,0,0,130.5466224,448.0808081,228,2064,2144
달서구,진천동,21355,51859,25308,26551,51567,25178,26389,292,130,162,2.41,8252,43.4,10149,5.11,1,14,5,3,0,865,263,46,186,4,2023,33,13,39,163,20,0,1,420.2630388,363.4433221,228,2064,2144
달서구,유천동,10917,33665,16563,17102,33605,16531,17074,60,32,28,3.08,1895,34.1,26932,1.25,0,0,4,0,0,468,256,18,38,5,706,4,0,89,24,14,0,0,272.8196687,88.90492224,228,2064,2144
달서구,상인1동,12948,34969,17068,17901,34889,17040,17849,80,28,52,2.69,5664,43.5,25158,1.39,1,3,3,6,0,417,136,18,49,8,1005,15,3,71,39,10,0,0,283.387227,98.86227353,228,2064,2144
달서구,상인2동,9220,19092,9435,9657,18970,9390,9580,122,45,77,2.06,3348,45.1,21213,0.9,1,0,1,0,0,214,108,16,105,1,1181,74,2,19,97,8,0,0,154.7207223,64.01154401,228,2064,2144
달서구,상인3동,6163,10847,5160,5687,10781,5135,5646,66,25,41,1.75,3638,54.2,2948,3.68,1,17,2,2,0,293,219,14,94,9,348,22,13,0,81,13,0,0,87.9036075,261.7360911,228,2064,2144
달서구,도원동,13808,34398,16567,17831,34323,16546,17777,75,21,54,2.49,6420,46,3230,10.65,2,9,4,4,0,496,360,20,84,4,615,15,10,15,61,23,0,0,278.7598682,757.4699375,228,2064,2144
달서구,송현1동,10122,19063,9490,9573,18645,9254,9391,418,236,182,1.84,4325,48.4,7749,2.46,0,6,1,0,0,217,92,26,156,1,818,14,6,7,146,10,0,0,154.4857076,174.964887,228,2064,2144
달서구,송현2동,9224,17996,8670,9326,17433,8369,9064,563,301,262,1.89,4655,50.1,18553,0.97,1,12,2,3,0,230,213,17,107,0,995,39,11,7,104,3,0,0,145.8387868,68.99021966,228,2064,2144
달서구,본동,6031,12242,6073,6169,11880,5859,6021,362,214,148,1.97,2760,48.7,11129,1.1,0,10,1,0,1,294,125,13,82,3,518,19,8,3,75,7,0,0,99.20862571,78.23633157,228,2064,2144
