col_1,행정동,세대수,등록인구,등록인구(남),등록인구(여),한국인,한국인(남),한국인(여),외국인,외국인(남),외국인(여),세대당인구,65세이상고령자,평균연령,인구밀도 (명/㎢),면적 (㎢),치안기관,유흥업소 수,초등학교 수,"중,고등학교 수",대학교 수,가로등 수,보안등 수,어린이용 CCTV 수,전체 CCTV수(어린이보호 제외),안전비상벨 수,상가 수,요리 주점,일반 유흥 주점,입시·교과학원,생활방범 CCTV 수,기타 CCTV 수,시설물 CCTV 수,쓰레기단속 CCTV 수,범죄발생수(유동인구기준),범죄발생수(면적기준),강력범죄,절도범죄,폭력범죄
동구,지저동,6863,14161,7053,7108,14072,7030,7042,89,23,66,2.05,3730,50.2,6526,2.17,0,3,0,1,0,475,205,0,69,2,381,9,0,3,65,,0,4,143.1342763,41.10074115,175,1505,1770
동구,동촌동,7803,15381,7700,7681,15273,7670,7603,108,30,78,1.96,3826,48.9,4037,3.81,1,4,1,1,0,214,167,0,90,2,569,21,5,1,80,,0,10,155.4655959,72.16305243,175,1505,1770
동구,방촌동,8394,18548,8925,9623,18472,8909,9563,76,16,60,2.2,4792,49.6,14721,1.26,0,3,3,1,0,295,379,0,80,5,577,16,0,12,66,,10,4,187.4764888,23.86494647,175,1505,1770
동구,해안동,7233,14920,7457,7463,14851,7439,7412,69,18,51,2.05,4091,50.1,1122,13.3,0,1,1,1,0,254,168,0,88,2,466,14,2,2,71,,0,17,150.8059743,251.9077683,175,1505,1770
동구,안심1동,19802,41509,20211,21298,41269,20138,21131,240,73,167,2.08,8237,45,12578,3.3,0,5,4,2,0,1092,1382,0,217,19,1702,48,6,26,207,,0,10,419.5579886,62.50343124,175,1505,1770
동구,안심2동,5293,11552,5743,5809,11488,5728,5760,64,15,49,2.17,2717,48.5,847,13.64,1,0,0,1,0,1187,508,0,192,8,363,1,0,0,176,,0,16,116.7634461,258.3475158,175,1505,1770
동구,안심3동,8685,21921,10656,11265,21803,10603,11200,118,53,65,2.51,3035,40.3,3594,6.1,0,2,3,2,0,605,245,0,100,9,696,14,0,64,95,,0,5,221.5695552,115.5366456,175,1505,1770
동구,안심4동,11858,28547,14130,14417,28390,14063,14327,157,67,90,2.39,4616,43,11283,2.53,2,5,1,2,0,468,237,0,82,3,945,9,3,19,75,,0,7,288.5427714,47.91929728,175,1505,1770
동구,혁신동,8820,18673,9228,9445,18590,9195,9395,83,33,50,2.11,1891,37.3,1137,16.42,1,0,2,2,0,1495,838,0,154,5,1018,13,7,27,145,,3,6,188.7399436,311.0019215,175,1505,1770
동구,공산동,9845,21519,10525,10994,21436,10501,10935,83,24,59,2.18,5343,48.4,257,83.8,2,0,3,2,0,1592,143,0,103,3,716,9,0,7,71,1,7,24,217.5062843,1587.208345,175,1505,1770
서구,소계,81116,161935,80754,81181,159827,79580,80247,2108,1174,934,1.97,40897,49.8,9350,17.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2032,2032,79,866,1087
서구,내당1동,4922,10142,5013,5129,10104,5004,5100,38,9,29,2.05,2179,46.8,21579,0.47,1,18,1,0,0,74,61,22,98,0,428,20,16,3,96,2,0,0,127.2642974,55.1408776,79,866,1087
서구,내당2·3동,4906,9323,4490,4833,9261,4466,4795,62,24,38,1.89,2802,52.3,14343,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,116.987285,76.25866051,79,866,1087
서구,내당4동,7955,16054,7683,8371,15974,7652,8322,80,31,49,2.01,3891,48.7,21405,0.75,1,9,1,3,0,172,260,33,172,4,785,34,8,12,128,34,10,0,201.4495199,87.99076212,79,866,1087
서구,비산1동,4862,9416,4773,4643,9320,4734,4586,96,39,57,1.92,2575,51.5,14713,0.64,0,1,2,0,0,28,134,54,115,4,212,9,1,1,95,20,0,0,118.1542718,75.08545035,79,866,1087
서구,비산2·3동,4968,8929,4359,4570,8873,4341,4532,56,18,38,1.79,2946,53.9,18222,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,112.0432766,57.48729792,79,866,1087
서구,비산4동,4709,9501,4603,4898,9464,4595,4869,37,8,29,2.01,2578,51,24362,0.39,0,2,1,2,0,60,108,36,127,4,310,17,1,1,113,8,6,0,119.2208726,45.7551963,79,866,1087
서구,비산5동,3346,6028,3064,2964,5865,2979,2886,163,85,78,1.75,1861,53.3,21529,0.28,0,1,1,0,0,60,43,21,116,0,337,47,7,5,107,9,0,0,75.64081885,32.84988453,79,866,1087
서구,비산6동,3743,7403,3637,3766,7351,3618,3733,52,19,33,1.96,2004,51.6,27419,0.27,0,4,0,0,0,65,64,27,75,0,228,9,3,0,69,6,0,0,92.89465526,31.67667436,79,866,1087
서구,비산7동,5428,10397,5638,4759,9565,5054,4511,832,584,248,1.76,2559,51.2,3795,2.74,1,8,1,0,0,786,234,27,342,8,794,49,7,0,334,2,6,0,130.4640998,321.4595843,79,866,1087
서구,평리1동,3939,7602,3795,3807,7541,3776,3765,61,19,42,1.91,2026,50.8,19492,0.39,0,5,1,0,0,74,151,38,102,0,295,22,4,2,88,14,0,0,95.39175595,45.7551963,79,866,1087
서구,평리2동,3544,7723,3760,3963,7690,3747,3943,33,13,20,2.17,1749,47.3,26631,0.29,0,1,1,0,0,41,8,49,70,8,206,7,0,4,62,8,0,0,96.91009356,34.02309469,79,866,1087
서구,평리3동,5013,9662,4850,4812,9588,4825,4763,74,25,49,1.91,2546,51,12548,0.77,2,8,1,4,0,149,120,47,195,4,638,18,8,7,174,21,0,0,121.24114,90.33718245,79,866,1087
서구,평리4동,8420,17519,8681,8838,17442,8661,8781,77,20,57,2.07,3614,46.8,23999,0.73,1,37,0,0,0,162,2,24,176,0,920,39,30,8,159,17,0,0,219.8326983,85.6443418,79,866,1087
서구,평리5동,867,1660,897,763,1641,886,755,19,11,8,1.89,442,50.2,3952,0.42,0,1,1,0,1,169,12,18,98,4,175,6,3,3,76,22,0,0,20.83008615,49.27482679,79,866,1087
서구,평리6동,1755,3432,1869,1563,3352,1811,1541,80,58,22,1.91,893,51.8,4701,0.73,0,0,1,0,0,256,72,15,62,0,162,1,0,1,53,9,0,0,43.06557569,85.6443418,79,866,1087
서구,상중이동,8779,19751,9903,9848,19469,9718,9751,282,185,97,2.22,4102,46.9,2944,6.71,1,3,2,3,0,1356,660,53,491,36,1154,12,4,9,402,87,2,0,247.8403804,787.2240185,79,866,1087
서구,원대동,3960,7393,3739,3654,7327,3713,3614,66,26,40,1.85,2130,51.9,12322,0.6,1,17,1,1,0,124,117,57,141,12,424,13,14,4,134,7,0,0,92.76917282,70.3926097,79,866,1087
남구,소계,76401,143474,68740,74734,141519,67842,73677,1955,898,1057,1.85,35590,48.5,8231,17.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1501,1501,73,656,772
남구,이천동,5422,11682,5518,6164,11548,5453,6095,134,65,69,2.13,3170,49.2,10717,1.09,0,0,2,1,0,445,165,23,61,8,494,12,0,17,59,,0,1,122.2150494,93.86632243,73,656,772
남구,봉덕1동,5152,8987,4330,4657,8832,4265,4567,155,65,90,1.71,2398,50.4,18341,0.49,1,6,0,0,0,250,20,3,57,10,640,11,9,0,49,,0,0,94.02042879,42.19678715,73,656,772
남구,봉덕2동,5340,12224,5783,6441,12070,5708,6362,154,75,79,2.26,2969,47.3,3995,3.06,0,0,0,0,0,526,180,3,60,4,436,8,2,1,55,,0,0,127.885359,263.5146299,73,656,772
남구,봉덕3동,8219,16168,7694,8474,15944,7587,8357,224,107,117,1.94,4097,48.7,6010,2.69,1,17,2,4,0,383,146,27,59,12,848,18,19,17,54,,0,0,169.1468001,231.6517499,73,656,772
